iter	Passed	Remaining
0	184	184707
1	204	102240
2	225	75104
3	244	60945
4	250	49811
5	268	44438
6	286	40675
7	304	37791
8	323	35584
9	341	33817
10	360	32402
11	378	31186
12	395	29993
13	414	29202
14	434	28499
15	452	27836
16	471	27267
17	490	26744
18	507	26204
19	525	25744
20	543	25337
21	561	24952
22	573	24360
23	590	24027
24	608	23722
25	624	23405
26	641	23129
27	658	22865
28	677	22672
29	695	22476
30	714	22342
31	733	22174
32	750	22001
33	767	21806
34	785	21656
35	803	21504
36	821	21370
37	839	21261
38	857	21137
39	876	21036
40	894	20915
41	912	20809
42	930	20717
43	950	20659
44	968	20544
45	985	20440
46	1002	20336
47	1022	20280
48	1039	20183
49	1058	20116
50	1076	20035
51	1095	19964
52	1113	19892
53	1131	19827
54	1150	19769
55	1168	19703
56	1186	19627
57	1203	19552
58	1221	19479
59	1238	19405
60	1256	19338
61	1274	19276
62	1292	19218
63	1311	19174
64	1328	19112
65	1347	19065
66	1365	19013
67	1382	18951
68	1400	18899
69	1417	18838
70	1435	18789
71	1453	18734
72	1471	18687
73	1488	18629
74	1506	18576
75	1524	18533
76	1543	18499
77	1561	18453
78	1579	18413
79	1597	18373
80	1616	18337
81	1633	18288
82	1650	18238
83	1669	18201
84	1685	18147
85	1703	18105
86	1721	18070
87	1740	18041
88	1759	18007
89	1776	17967
90	1795	17934
91	1812	17892
92	1829	17845
93	1847	17804
94	1864	17760
95	1882	17725
96	1900	17693
97	1918	17659
98	1936	17621
99	1955	17596
100	1972	17561
101	1991	17529
102	2009	17499
103	2027	17468
104	2045	17432
105	2063	17401
106	2080	17364
107	2098	17328
108	2114	17286
109	2132	17256
110	2149	17218
111	2167	17181
112	2184	17145
113	2202	17117
114	2220	17087
115	2238	17056
116	2256	17028
117	2275	17008
118	2293	16979
119	2311	16954
120	2329	16923
121	2347	16895
122	2365	16866
123	2383	16836
124	2401	16812
125	2418	16778
126	2436	16745
127	2456	16734
128	2474	16705
129	2492	16679
130	2510	16653
131	2529	16635
132	2548	16612
133	2566	16587
134	2584	16560
135	2602	16535
136	2620	16507
137	2636	16470
138	2653	16439
139	2672	16414
140	2689	16386
141	2707	16360
142	2726	16338
143	2743	16311
144	2763	16294
145	2781	16272
146	2800	16252
147	2818	16223
148	2835	16196
149	2853	16172
150	2871	16146
151	2889	16121
152	2907	16096
153	2924	16065
154	2942	16042
155	2962	16027
156	2978	15993
157	2997	15972
158	3015	15949
159	3033	15928
160	3051	15902
161	3068	15874
162	3087	15852
163	3106	15833
164	3124	15811
165	3142	15788
166	3160	15765
167	3177	15737
168	3196	15716
169	3213	15689
170	3232	15670
171	3250	15647
172	3268	15623
173	3286	15600
174	3303	15574
175	3322	15555
176	3339	15529
177	3357	15506
178	3376	15484
179	3393	15458
180	3411	15434
181	3429	15415
182	3448	15395
183	3465	15369
184	3482	15343
185	3500	15319
186	3521	15309
187	3539	15286
188	3557	15265
189	3575	15243
190	3594	15224
191	3611	15198
192	3629	15176
193	3647	15154
194	3665	15133
195	3684	15114
196	3703	15094
197	3731	15115
198	3757	15123
199	3778	15113
200	3798	15098
201	3817	15080
202	3842	15084
203	3869	15099
204	3891	15090
205	3909	15066
206	3927	15047
207	3945	15023
208	3962	14996
209	3980	14974
210	3998	14953
211	4016	14928
212	4033	14904
213	4052	14885
214	4070	14862
215	4089	14844
216	4107	14820
217	4124	14796
218	4143	14774
219	4161	14755
220	4180	14734
221	4197	14711
222	4216	14690
223	4233	14665
224	4252	14647
225	4270	14625
226	4288	14602
227	4306	14580
228	4324	14558
229	4341	14535
230	4359	14512
231	4376	14486
232	4393	14462
233	4412	14442
234	4430	14421
235	4449	14403
236	4466	14380
237	4484	14359
238	4503	14341
239	4521	14317
240	4539	14295
241	4556	14272
242	4574	14251
243	4592	14228
244	4609	14205
245	4627	14182
246	4644	14160
247	4662	14137
248	4680	14116
249	4697	14093
250	4716	14074
251	4734	14053
252	4754	14037
253	4773	14018
254	4790	13996
255	4809	13977
256	4835	13978
257	4857	13970
258	4882	13967
259	4908	13969
260	4934	13971
261	4955	13959
262	4973	13937
263	4991	13916
264	5009	13893
265	5026	13870
266	5043	13846
267	5060	13820
268	5078	13800
269	5096	13780
270	5114	13758
271	5131	13734
272	5151	13717
273	5167	13693
274	5186	13674
275	5206	13656
276	5224	13637
277	5241	13613
278	5260	13593
279	5277	13571
280	5295	13550
281	5314	13530
282	5332	13509
283	5349	13486
284	5367	13465
285	5385	13446
286	5404	13425
287	5421	13401
288	5438	13380
289	5455	13356
290	5473	13335
291	5491	13314
292	5510	13297
293	5528	13275
294	5547	13256
295	5564	13234
296	5581	13212
297	5599	13190
298	5618	13172
299	5635	13150
300	5653	13128
301	5670	13105
302	5687	13082
303	5704	13061
304	5722	13038
305	5741	13021
306	5760	13003
307	5778	12982
308	5796	12961
309	5814	12942
310	5832	12922
311	5850	12902
312	5869	12881
313	5886	12860
314	5904	12838
315	5921	12818
316	5940	12799
317	5958	12778
318	5976	12757
319	5994	12739
320	6012	12717
321	6030	12698
322	6049	12678
323	6066	12657
324	6084	12636
325	6101	12615
326	6120	12596
327	6137	12575
328	6156	12555
329	6174	12535
330	6192	12515
331	6210	12495
332	6228	12475
333	6247	12456
334	6264	12436
335	6281	12414
336	6298	12392
337	6317	12373
338	6335	12353
339	6354	12335
340	6373	12316
341	6390	12295
342	6409	12276
343	6427	12257
344	6446	12239
345	6465	12220
346	6484	12201
347	6501	12181
348	6519	12161
349	6539	12144
350	6558	12126
351	6577	12109
352	6595	12088
353	6613	12069
354	6631	12048
355	6649	12029
356	6668	12010
357	6686	11990
358	6705	11972
359	6724	11953
360	6743	11935
361	6762	11918
362	6781	11900
363	6799	11881
364	6817	11861
365	6835	11841
366	6853	11821
367	6871	11800
368	6889	11781
369	6908	11762
370	6926	11743
371	6944	11723
372	6961	11702
373	6981	11686
374	7000	11666
375	7017	11646
376	7035	11625
377	7052	11605
378	7070	11585
379	7089	11567
380	7107	11546
381	7125	11527
382	7143	11507
383	7162	11490
384	7179	11469
385	7198	11450
386	7216	11431
387	7235	11412
388	7254	11394
389	7273	11375
390	7290	11355
391	7307	11334
392	7325	11314
393	7343	11294
394	7362	11276
395	7379	11255
396	7396	11234
397	7414	11214
398	7432	11195
399	7450	11175
400	7469	11156
401	7487	11137
402	7504	11117
403	7523	11098
404	7540	11078
405	7560	11061
406	7578	11041
407	7596	11022
408	7614	11003
409	7632	10983
410	7649	10962
411	7669	10945
412	7689	10928
413	7707	10909
414	7726	10891
415	7744	10871
416	7763	10853
417	7780	10833
418	7799	10815
419	7817	10796
420	7835	10776
421	7853	10756
422	7870	10736
423	7887	10715
424	7907	10698
425	7926	10679
426	7944	10661
427	7963	10643
428	7982	10624
429	8001	10606
430	8020	10588
431	8038	10568
432	8056	10549
433	8074	10530
434	8092	10510
435	8110	10492
436	8128	10472
437	8146	10453
438	8164	10433
439	8182	10414
440	8201	10395
441	8218	10374
442	8234	10354
443	8252	10333
444	8269	10313
445	8287	10294
446	8305	10275
447	8324	10256
448	8341	10236
449	8360	10218
450	8378	10199
451	8397	10180
452	8414	10160
453	8432	10141
454	8450	10122
455	8469	10103
456	8486	10082
457	8503	10063
458	8522	10044
459	8539	10025
460	8557	10005
461	8575	9986
462	8594	9967
463	8611	9947
464	8630	9930
465	8649	9911
466	8666	9891
467	8683	9871
468	8701	9851
469	8718	9831
470	8735	9810
471	8753	9792
472	8772	9773
473	8791	9756
474	8809	9737
475	8827	9717
476	8845	9697
477	8863	9679
478	8880	9659
479	8898	9640
480	8916	9621
481	8934	9601
482	8951	9581
483	8972	9565
484	8993	9549
485	9011	9530
486	9030	9513
487	9049	9494
488	9066	9474
489	9084	9455
490	9101	9435
491	9120	9416
492	9138	9397
493	9156	9379
494	9176	9362
495	9195	9344
496	9214	9325
497	9232	9307
498	9251	9288
499	9271	9271
500	9290	9253
501	9308	9234
502	9327	9216
503	9346	9198
504	9364	9178
505	9382	9160
506	9401	9142
507	9422	9125
508	9442	9108
509	9461	9090
510	9480	9071
511	9500	9055
512	9521	9038
513	9542	9022
514	9562	9005
515	9583	8988
516	9601	8970
517	9621	8953
518	9641	8935
519	9660	8917
520	9681	8901
521	9701	8883
522	9722	8867
523	9740	8848
524	9759	8830
525	9778	8812
526	9796	8792
527	9815	8774
528	9835	8756
529	9854	8738
530	9875	8722
531	9896	8705
532	9917	8689
533	9952	8684
534	9980	8674
535	10002	8658
536	10023	8642
537	10050	8630
538	10082	8623
539	10113	8615
540	10147	8609
541	10170	8593
542	10190	8576
543	10209	8557
544	10227	8538
545	10246	8519
546	10263	8499
547	10281	8480
548	10299	8461
549	10318	8442
550	10337	8423
551	10356	8405
552	10373	8385
553	10393	8367
554	10412	8348
555	10431	8330
556	10451	8312
557	10469	8292
558	10488	8274
559	10507	8255
560	10526	8237
561	10545	8218
562	10564	8200
563	10584	8182
564	10602	8163
565	10621	8144
566	10639	8125
567	10657	8105
568	10675	8086
569	10691	8065
570	10710	8047
571	10727	8027
572	10745	8007
573	10763	7988
574	10782	7969
575	10800	7950
576	10818	7930
577	10835	7911
578	10853	7891
579	10870	7871
580	10889	7852
581	10908	7834
582	10925	7814
583	10942	7795
584	10962	7776
585	10980	7757
586	10997	7737
587	11016	7718
588	11033	7699
589	11052	7680
590	11070	7661
591	11089	7642
592	11107	7623
593	11125	7604
594	11143	7585
595	11161	7565
596	11179	7546
597	11197	7527
598	11215	7508
599	11233	7488
600	11250	7468
601	11267	7449
602	11286	7430
603	11304	7411
604	11322	7392
605	11340	7373
606	11359	7354
607	11376	7335
608	11394	7315
609	11413	7297
610	11431	7277
611	11450	7259
612	11468	7240
613	11486	7221
614	11505	7202
615	11523	7183
616	11541	7164
617	11560	7145
618	11579	7127
619	11599	7109
620	11616	7089
621	11634	7070
622	11652	7051
623	11670	7032
624	11689	7013
625	11709	6995
626	11727	6976
627	11745	6957
628	11764	6939
629	11783	6920
630	11801	6901
631	11819	6882
632	11837	6863
633	11856	6844
634	11875	6825
635	11893	6807
636	11913	6788
637	11932	6770
638	11951	6752
639	11971	6733
640	11990	6715
641	12009	6696
642	12028	6678
643	12046	6659
644	12064	6640
645	12083	6621
646	12102	6602
647	12119	6583
648	12140	6565
649	12159	6547
650	12177	6528
651	12197	6510
652	12215	6491
653	12234	6472
654	12252	6453
655	12272	6435
656	12291	6417
657	12310	6398
658	12329	6379
659	12346	6360
660	12365	6341
661	12384	6323
662	12403	6304
663	12422	6285
664	12441	6267
665	12461	6249
666	12480	6231
667	12499	6212
668	12518	6193
669	12538	6175
670	12557	6157
671	12576	6138
672	12595	6119
673	12614	6101
674	12632	6082
675	12651	6063
676	12671	6045
677	12692	6027
678	12713	6010
679	12733	5992
680	12755	5975
681	12777	5957
682	12800	5940
683	12822	5923
684	12844	5906
685	12867	5889
686	12891	5873
687	12914	5856
688	12937	5839
689	12962	5823
690	12986	5807
691	13011	5791
692	13037	5775
693	13062	5759
694	13085	5742
695	13109	5725
696	13133	5709
697	13157	5692
698	13181	5676
699	13206	5660
700	13230	5643
701	13253	5626
702	13277	5609
703	13301	5592
704	13322	5574
705	13346	5557
706	13368	5540
707	13391	5523
708	13414	5505
709	13444	5491
710	13484	5481
711	13509	5464
712	13535	5448
